                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.6315,                  25.48,                 4.1534,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064865,             0.00064865,             0.00064865
                      2,                 5.3049,                 10.913,                 3.2662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001314,               0.001314,               0.001314
                      3,                 4.2367,                 7.0649,                 2.5954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019781,              0.0019781,              0.0019781
                      4,                 3.7819,                  5.091,                 2.2941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019941,              0.0019941,              0.0019941
                      5,                  3.459,                 4.1013,                 2.1259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019921,              0.0019921,              0.0019921
                      6,                 3.1669,                 3.6139,                 1.9533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019901,              0.0019901,              0.0019901
                      7,                 3.0474,                 3.2262,                 1.8452,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019881,              0.0019881,              0.0019881
                      8,                 2.8753,                 2.7906,                 1.7442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019861,              0.0019861,              0.0019861
                      9,                 2.6574,                 2.3832,                 1.6405,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019842,              0.0019842,              0.0019842
                     10,                 2.6141,                 2.1848,                 1.6183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019822,              0.0019822,              0.0019822
                     11,                 2.5731,                 2.0813,                 1.5725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019802,              0.0019802,              0.0019802
                     12,                 2.5094,                 1.9155,                 1.5118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019782,              0.0019782,              0.0019782
                     13,                 2.3708,                 1.8732,                 1.4823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019762,              0.0019762,              0.0019762
                     14,                 2.4066,                 1.8049,                 1.4895,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019743,              0.0019743,              0.0019743
                     15,                 2.3224,                  1.678,                 1.4594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019723,              0.0019723,              0.0019723
                     16,                 2.3007,                 1.6888,                 1.4747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                     17,                 2.1639,                 1.5605,                 1.3827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019683,              0.0019683,              0.0019683
                     18,                 2.1084,                 1.4649,                 1.3906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019663,              0.0019663,              0.0019663
                     19,                 2.1682,                 1.4914,                 1.3827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019644,              0.0019644,              0.0019644
                     20,                 2.0475,                 1.3852,                 1.3653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019624,              0.0019624,              0.0019624
                     21,                 2.0767,                 1.3515,                 1.3454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                     22,                 2.0174,                 1.3242,                 1.3264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019584,              0.0019584,              0.0019584
                     23,                  1.987,                 1.3236,                 1.3221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019564,              0.0019564,              0.0019564
                     24,                 1.9847,                 1.2309,                 1.3234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019545,              0.0019545,              0.0019545
                     25,                 1.8805,                 1.1891,                 1.2835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019525,              0.0019525,              0.0019525
                     26,                 1.9556,                 1.2331,                 1.3012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                     27,                 1.8456,                 1.2068,                 1.2606,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019485,              0.0019485,              0.0019485
